Plot ID,Panel,Plot Status,Administrative State,Project Office,Design Stratum,Project Contact Name,Comments,Rejection Criteria,Rejection Criteria Comments,Actual Stratum,Project,Random or Targeted,Revisit,Original Plot ID If Revisit,Date Originally Visited If Revisit,Moved,Move Comments,Date Visited,Actual Latitude Y,Actual Longitude X,Ecological Site
RI-210,Oversample 2019,SAMPLED,CO,UFO,RI,Ken Holsinger,,,,,,,,,,,,,,,NEED MATCHED
RI-211,Oversample 2019,REJECTED,CO,UFO,RI,Ken Holsinger,,,,,,,,,,,,,,,NA
RI-212,Oversample 2020,SAMPLED,CO,UFO,RI,Ken Holsinger,,,,,,,,,,,,,,,NEED MATCHED
RI-213,Oversample 2020,REJECTED,CO,UFO,RI,Ken Holsinger,,,,,,,,,,,,,,,NA
RI-214,Oversample 2020,NOT SAMPLED,CO,UFO,RI,Ken Holsinger,,,,,,,,,,,,,,,NA
SS-294,2022,REJECTED,CO,UFO,SS,Ken Holsinger,,,,,,,,,,,,,,,NA
SS-295,2022,SAMPLED,CO,UFO,SS,Ken Holsinger,,,,,,,,,,,,,,,R036XY114CO
SS-296,2022,SAMPLED,CO,UFO,SS,Ken Holsinger,,,,,,,,,,,,,,,UNMATCHABLE
SS-297,2022,SAMPLED,CO,UFO,SS,Ken Holsinger,,,,,,,,,,,,,,,R034BY106UT
SS-298,2022,SAMPLED,CO,UFO,SS,Ken Holsinger,,,,,,,,,,,,,,,NEED MATCHED
SS-299,2022,SAMPLED,CO,UFO,SS,Ken Holsinger,,,,,,,,,,,,,,,R036XY325CO
SS-300,2022,SAMPLED,CO,UFO,SS,Ken Holsinger,,,,,,,,,,,,,,,R034XY327CO
SS-305,Oversample 2019,SAMPLED,CO,UFO,SS,Ken Holsinger,,,,,,,,,,,,,,,R036XY113CO
SS-306,Oversample 2019,SAMPLED,CO,UFO,SS,Ken Holsinger,,,,,,,,,,,,,,,R034BY212UT
SS-307,Oversample 2019,SAMPLED,CO,UFO,SS,Ken Holsinger,,,,,,,,,,,,,,,R036XY326CO
SS-308,Oversample 2019,SAMPLED,CO,UFO,SS,Ken Holsinger,,,,,,,,,,,,,,,R036XY284CO
SS-309,Oversample 2020,REJECTED,CO,UFO,SS,Ken Holsinger,,,,,,,,,,,,,,,NA
SS-310,Oversample 2020,SAMPLED,CO,UFO,SS,Ken Holsinger,,,,,,,,,,,,,,,R034XY404CO
SS-311,Oversample 2020,SAMPLED,CO,UFO,SS,Ken Holsinger,,,,,,,,,,,,,,,R036XY326CO
